id,organizacao,heuristica_antiga,classificador_novo
56,Secretaria de Políticas para Mulheres em Caruaru - PE,Estado,Estado
57,Articulacao dos Empregados Rurais do Estado de Minas Gerais (ADERE),Estado,Terceiro setor
58,Federação Varejista do Rio Grande do Sul,Terceiro setor,Terceiro setor
59,Conselho Nacional de Secretarias Municipais de Saúde (Conasems),Estado,Indefinido
60,Conselho Nacional de Secretários de Estado da Administração,Estado,Indefinido
61,Federação Nacional dos Trabalhadores do Judiciário nos Estados,Terceiro setor,Terceiro setor
62,Instituto Brasileiro do Meio Ambiente e dos Recursos Renováveis (IBAMA),Terceiro setor,Estado
63,Sindicato dos Especialistas de Educação do Ensino Público Municipal de São Paulo (Sinesp),Terceiro setor,Terceiro setor
64,Associação Nacional de Hospitais Privados (Anahp),Terceiro setor,Terceiro setor
65,Concessionária EPR Via Mineira S/A,Mercado,Mercado
66,Associação Brasileira de Criminalística,Terceiro setor,Terceiro setor
67,Associação Ypassali Sanöma (confirmado),Terceiro setor,Terceiro setor
68,consórcio intermunicipal de saúde da rede de urgência Centro Sul,Indefinido,Terceiro setor
69,Associação Internacional Para Estudo da Dor - IASP Brasil,Terceiro setor,Terceiro setor
70,"Instituto Nacional de Estudos e Pequisas Educacionais Anísio Teixeira (INEP), Sr",Estado,Estado
71,Políticas de Futebol e Promoção do Futebol Feminino do Ministério do Esporte (presencial),Estado,Estado
72,Setor Leiteiro da Confederação da Agricultura e Pecuária do Brasil (CNA),Terceiro setor,Mercado
73,Avaliação da Educação Superior do Ministério da Educação,Estado,Estado
74,Confederação Nacional dos Trabalhadores na Agricultura - CONTAG,Terceiro setor,Terceiro setor
75,Confederação Nacional de Trabalhadores do Ramo Financeiro - Contraf,Terceiro setor,Terceiro setor
76,Preservação e Difusão Audiovisual do Ministério da Cultura (confirmada),Estado,Estado
77,presidência da Federação Brasileira dos Treinadores de -Futebol (FBTF),Terceiro setor,Terceiro setor
78,5)Ministério das Comunicações ou Representante - MCOM (Declinou),Estado,Estado
79,ONG Subúrbio Carioca,Terceiro setor,Terceiro setor
80,Agência Nacional de Proteção de Dados - ANPD,Estado,Estado
81,Trabalhadoras do Judiciário Federal e Ministério Público da União (FENAJUFE),Estado,Estado
82,Senador ZEQUINHA MARINHO,Estado,Indefinido
83,Ministério da Igualdade Racial (Confirmada),Estado,Estado
84,INSTITUTO SOCIAL EUMELANINA,Terceiro setor,Terceiro setor
85,Socioeducativa da Secretaria de Estado de,Estado,Estado
86,Federação Nacional do Comércio de Combustíveis e Lubrificantes (FECOMBUSTÍVEIS),Terceiro setor,Mercado
87,Associação dos Policiais Penais do Brasil - Ageppen/Brasil,Estado,Terceiro setor
88,Direito Digital do Ministério da Justiça e Segurança Pública,Estado,Estado
89,Médico neurologista do Departamento de Atenção à Saúde da Câmara dos Deputados,Estado,Estado
90,Associação Brasileira de Zonas de Processamento de Exportação - ABRAZPE,Terceiro setor,Terceiro setor
91,Sociedade Brasileira de Cirurgia Pediátrica,Indefinido,Terceiro setor
92,Relações Estudantis e Serviços Digitais do Ministério da Educação,Estado,Estado
93,empresa BR Media Group pesquisadora em trabalho infantil e exploração econômica,Mercado,Indefinido
94,"5. Fernando Moutinho, da Consultoria de Orçamentos, Fiscalização e Controle do Senado",Estado,Indefinido
95,Instituto Brasileiro de Direitos Culturais - IBDCULT (Confirmado),Terceiro setor,Terceiro setor
96,da Associação de Bets e Fantasy Sport (ABFS),Terceiro setor,Terceiro setor
97,Federação dos Trabalhadores na Agricultura no Rio Grande do Sul - FEETAG-RS,Terceiro setor,Terceiro setor
98,Consultora da Secretaria de Educação Básica,Estado,Estado
99,Instituto Oncoguia (confirmada),Terceiro setor,Terceiro setor
100,Senador PL|RJ,Estado,Indefinido
101,Comissão de Educação da 1ª Câmara do Ministério Público Federal,Estado,Estado
102,Associação Nacional dos Detrans - AND,Terceiro setor,Terceiro setor
103,Associação Gaúcha dos Produtores de Bambu,Terceiro setor,Terceiro setor
104,SINDICATO DOS SERVIDORES DO MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS - SINDSEMP-MG,Estado,Terceiro setor
105,Associação Brasileira de Medicina de Tráfego - ABRAMET,Terceiro setor,Terceiro setor
106,"Paraíba, representando o Conselho Federal de Medicina",Terceiro setor,Estado
107,Conselho de Arquitetura e Urbanismo do Acre (CAU/AC),Terceiro setor,Indefinido
108,Sindicato Nacional dos Docentes das Instituições de Ensino Superior | ANDES - SN,Terceiro setor,Terceiro setor
109,Downstream do Instituto Brasileiro de Petróleo e Gás - IBP,Terceiro setor,Terceiro setor
110,"CLÉCIO LUIS, Governador do Estado do Amapá (confirmado) - REQ 94",Estado,Indefinido
111,Associação Ostomizados do Mato Grosso do Sul - AOMS,Terceiro setor,Terceiro setor
112,Associação dos Aposentados e Pensionistas Nacional - AAPEN,Terceiro setor,Terceiro setor
113,Confederação dos Servidores do Brasil - CSPB,Terceiro setor,Terceiro setor
114,Instituto Palavra Aberta,Terceiro setor,Terceiro setor
115,"FÓRUM DAS ENTIDADES REPRESENTATIVAS DOS SERVIDORES DA CULTURA (CONFIRMADA), E",Terceiro setor,Indefinido
116,Fundação Abrinq,Terceiro setor,Terceiro setor
117,Sociedade Civil na Negociação do Tratado Internacional sobre Plásticos,Indefinido,Terceiro setor
118,Federação Nacional de Sindicatos de Guardas Municipais - FENAGUARDAS,Terceiro setor,Terceiro setor
119,Secretaria Nacional de Políticas Penais do Ministério da Justiça e Segurança Pública,Estado,Estado
120,Centro Brasileiro de Relações Internacionais - CEBRI,Indefinido,Indefinido
121,Sindicato dos Jornalistas do Município do Rio de Janeiro,Terceiro setor,Terceiro setor
122,Federação Nacional dos Atletas Profissionais de Futebol (Fenapaf) (presencial),Terceiro setor,Terceiro setor
123,"NIOMAR DE SOUSA NOGUEIRA, Associação Nacional dos Advogados da União",Estado,Terceiro setor
124,Conselho Plano do Rio Grande (Confirmado),Terceiro setor,Indefinido
125,Central Estadual de Transplantes do Distrito Federal (CET-DF),Indefinido,Terceiro setor
126,Relações com Consumidores da ANATEL,Indefinido,Estado
127,"7) JOSÉ ROBERTO SAVOIA, Professor da Universidade de São Paulo (Confirmado)",Estado,Estado
128,Assembleia Legislativa do Estado do Tocantins/TO,Estado,Estado
129,Movimento dos Atingidos por Barragens em MG(confirmada),Terceiro setor,Terceiro setor
130,Sindicato Nacional dos Servidores das Agências Nacionais de Regulação - SINAGÊNCIAS,Estado,Terceiro setor
131,Associação Brasileira de Direito e Economia - ABDE,Terceiro setor,Terceiro setor
132,INSTITUTO IPA BRASIL,Terceiro setor,Terceiro setor
133,Instituto Reúna,Terceiro setor,Terceiro setor
134,Confederação das Associações Comerciais e Empresariais do Brasil (CACB),Mercado,Mercado
135,Polícia Federal - Coordenador-Geral de Controle de Serviços e Produtos - CGCSP/DPA,Estado,Estado
136,Ministério do Trabalho e Emprego (MTE),Estado,Estado
137,Ministro de Estado da Saúde ( confirmado),Estado,Indefinido
138,Federação de Pescadores do Estado de Rondônia,Estado,Terceiro setor
139,Empresa Solinftec,Mercado,Indefinido
140,Coordenaddora de Oceanos e Águas do Instituto Arayara,Terceiro setor,Terceiro setor
141,Ministério da Saúde,Estado,Estado
142,Divisão de Repressão ao Trabalho Forçado da Policia Federal,Estado,Estado
143,"ABF Regional Centro-Oeste, representando a Associação Brasileira de Franchising (ABF)",Terceiro setor,Terceiro setor
144,Conselho Federal de Serviço Social (CFESS),Terceiro setor,Estado
145,Instituto do Coração - Faculdade de Medicina da USP,Estado,Estado
146,Movimento Estadual dos Profissionais Não Docentes do Acre,Terceiro setor,Terceiro setor
147,Sindicato dos Médicos do Estado de Sergipe (Sindimed),Estado,Terceiro setor
148,Movimento 8M,Terceiro setor,Terceiro setor
149,Ministério da Justiça e Segurança Pública | MJSP,Estado,Estado
150,Associação Brasileira do Biogás e do Biometano - ABIOGÁS,Terceiro setor,Terceiro setor
